n,location_type,layer_idx,intervention_type,alpha,acc_baseline,acc_hint,acc_baseline_int,acc_hint_int,mean_delta_baseline,mean_delta_hint,mean_delta_baseline_int,mean_delta_hint_int,mean_E_hint,mean_baseline_damage,mean_hint_damage,mean_DD,mean_DD_ratio,std_DD
633,mlp,27,ablation,,0.01579778830963665,0.9921011058451816,0.01579778830963665,0.9921011058451816,-1.3637101352685623,3.9796243572687087,-1.3637101352685623,3.9796243572687087,5.343334492537271,0.0,0.0,0.0,0.0,0.0
633,residual,0,ablation,,0.01579778830963665,0.9921011058451816,0.07424960505529225,0.985781990521327,-1.3637101352685623,3.9796243572687087,-0.7708641883886256,3.0993349457992383,5.343334492537271,-0.5928459468799369,0.88028941146947,1.473135358349407,0.2463250478885585,1.1879001258978947
633,residual,1,ablation,,0.01579778830963665,0.9921011058451816,0.10268562401263823,0.9004739336492891,-1.3637101352685623,3.9796243572687087,-1.0845119964454977,2.731586100742527,5.343334492537271,-0.27919813882306477,1.2480382565261816,1.5272363953492465,0.24018067263595463,2.043793577575153
633,residual,8,ablation,,0.01579778830963665,0.9921011058451816,0.07898894154818326,0.9826224328593997,-1.3637101352685623,3.9796243572687087,-1.1739407459518167,4.011046323731048,5.343334492537271,-0.18976938931674567,-0.031421966462338705,0.15834742285440695,-0.03296090690167112,0.9926127005766457
633,residual,9,ablation,,0.01579778830963665,0.9921011058451816,0.04739336492890995,0.985781990521327,-1.3637101352685623,3.9796243572687087,-1.2749231709123223,4.053851480167624,5.343334492537271,-0.08878696435624013,-0.07422712289891537,0.014559841457324758,-0.07091552539563771,1.1442159479045648
633,residual,10,ablation,,0.01579778830963665,0.9921011058451816,0.07740916271721959,0.9826224328593997,-1.3637101352685623,3.9796243572687087,-1.3544204494964456,4.053027033994171,5.343334492537271,-0.009289685772116904,-0.0734026767254629,-0.064112990953346,-0.12332666693428039,1.2781411362639423
633,residual,11,ablation,,0.01579778830963665,0.9921011058451816,0.04739336492890995,0.9842022116903634,-1.3637101352685623,3.9796243572687087,-1.4694789506812795,4.002267334321852,5.343334492537271,0.10576881541271722,-0.022642977053143592,-0.12841179246586082,-0.11416179981175836,1.299737683547703
633,residual,12,ablation,,0.01579778830963665,0.9921011058451816,0.09320695102685624,0.985781990521327,-1.3637101352685623,3.9796243572687087,-1.288974563092417,4.0583348296829875,5.343334492537271,-0.07473557217614533,-0.07871047241427886,-0.003974900238133531,-0.07589890986314704,1.1523483046826681
633,residual,20,ablation,,0.01579778830963665,0.9921011058451816,0.014218009478672985,0.976303317535545,-1.3637101352685623,3.9796243572687087,-1.3145750024684044,3.445808285597188,5.343334492537271,-0.04913513280015798,0.5338160716715206,0.5829512044716786,0.11524371258526696,0.528008928008668
633,residual,21,ablation,,0.01579778830963665,0.9921011058451816,0.01579778830963665,0.990521327014218,-1.3637101352685623,3.9796243572687087,-1.3376653830963665,3.849220684166015,5.343334492537271,-0.026044752172195894,0.1304036731026937,0.1564484252748896,0.030567175301537665,0.35188500120183536
633,residual,22,ablation,,0.01579778830963665,0.9921011058451816,0.014218009478672985,0.9842022116903634,-1.3637101352685623,3.9796243572687087,-1.3713498469589258,3.810429005826254,5.343334492537271,0.007639711690363349,0.16919535144245454,0.1615556397520912,0.023796274069610893,0.4182147965487684
633,residual,27,ablation,,0.01579778830963665,0.9921011058451816,0.0,0.9889415481832543,-1.3637101352685623,3.9796243572687087,-1.3645601920418642,3.8918345023482144,5.343334492537271,0.0008500567733017377,0.08778985492049424,0.08693979814719249,0.01605628512325685,0.20743575065256895
